record_ID,units_sold
212645,47.392757
212646,20.107477
212647,16.451822
212648,22.831036
212649,36.703625
212653,41.539543
212654,35.637177
212657,17.23256
212658,5.369175
212661,167.15396
212662,108.784515
212663,57.760574
212666,70.6732
212667,86.746574
212668,118.701225
212671,62.274582
212672,100.82318
212673,64.59608
212674,290.02792
212675,25.2228
212676,19.389637
212677,73.4584
212678,51.985413
212679,48.7306
212681,40.475494
212682,71.36597
212683,29.214132
212686,90.40374
212687,92.38573
212688,27.308027
212689,1.950617
212691,27.927612
212692,52.92247
212693,65.09801
212694,49.49284
212695,57.472492
212696,54.8322
212697,86.68891
212698,37.61521
212699,252.29085
212700,27.4948
212701,12.558039
212702,39.024536
212703,33.36137
212704,29.788525
212705,33.793343
212706,37.92938
212707,52.685825
212709,11.520889
212710,21.718136
212711,26.064482
212712,35.211815
212713,38.26573
212716,27.76482
212717,58.302834
212718,13.766297
212719,18.409286
212721,78.54652
212722,25.211548
212723,122.631294
212724,17.481985
212725,12.108895
212727,35.24602
212728,40.1418
212729,32.515015
212731,37.158676
212732,53.041313
212734,4.800524
212735,-5.023876
212736,6.7787895
212737,255.71529
212738,234.88127
212739,55.251286
212740,21.768557
212742,93.19699
212743,113.563
212744,201.06532
212748,194.41734
212749,97.062325
212750,448.03354
212751,35.722576
212752,25.88262
212754,124.825554
212755,70.3823
212756,80.44273
212757,58.71937
212758,56.366398
212759,86.97646
212760,13.118325
212761,73.063774
212763,13.788458
212764,108.96274
212765,79.42519
212767,48.385143
212768,50.037575
212769,62.898052
212772,38.508984
212773,66.08597
212774,31.961264
212775,155.5994
212776,17.315647
212777,10.894285
212778,50.497887
212779,30.581219
212782,47.833412
212783,55.54443
212787,175.56831
212788,112.95263
212789,68.43807
212790,14.098595
212792,90.92946
212793,106.88222
212794,121.77488
212796,139.98978
212797,136.0264
212798,352.22345
212799,28.867937
212800,22.232447
212802,83.942635
212803,58.11253
212805,38.66576
212806,57.926174
212807,70.83044
212809,36.653923
212812,47.215233
212816,13.895029
212817,32.472866
212818,35.57575
212819,16.683214
212820,17.447577
212821,45.554848
212822,65.792725
212823,22.50389
212824,127.64795
212825,21.612785
212826,19.003536
212828,32.85963
212829,36.90807
212830,29.857447
212831,29.066647
212832,41.999096
212833,48.02398
212834,35.151493
212835,30.19858
212837,5.883435
212838,22.623
212839,20.47598
212840,26.42932
212843,56.101154
212844,13.3327875
212845,143.88242
212846,18.093094
212849,15.000205
212850,27.481766
212853,36.20834
212856,46.922882
212857,29.80586
212860,19.777832
212861,55.23663
212862,58.54874
212863,16.307749
212866,137.37598
212867,56.170517
212868,249.35733
212869,41.90559
212870,30.476522
212872,47.897022
212873,53.073856
212874,40.86358
212875,39.905117
212876,43.868687
212877,46.271404
212879,24.342157
212880,42.72903
212881,50.990368
212884,13.196129
212885,35.048912
212886,25.81521
212888,11.676254
212889,40.325203
212890,22.94379
212891,156.48978
212892,17.589113
212893,22.039742
212896,33.300385
212899,2.0645068
212900,13.434767
212901,31.0017
212902,38.760815
212903,10.444301
212905,43.624104
212906,16.68657
212907,78.59257
212910,22.271473
212911,16.216488
212914,23.31874
212915,88.84216
212916,69.00239
212917,38.945
212919,52.194458
212920,59.19404
212921,82.57294
212924,75.356575
212925,44.81403
212926,234.96017
212927,19.56099
212929,53.242264
212930,48.09242
212931,18.13558
212932,67.6432
212933,58.475986
212934,66.4928
212935,15.015099
212936,62.593716
212937,49.089504
212938,29.013937
212940,27.472229
212941,34.47182
212942,51.344425
212946,63.60688
212947,47.649723
212948,177.66039
212949,44.28966
212950,36.786003
212951,22.031496
212952,42.268925
212954,48.371788
212955,35.90465
212956,37.503895
212959,24.497131
212960,51.622536
212964,76.77451
212965,30.456898
212966,202.26643
212967,30.234467
212968,17.921976
212969,38.092594
212970,51.511818
212971,35.637074
212973,38.330902
212974,40.99901
212977,64.66028
212978,57.51622
212979,33.51568
212981,31.644209
212982,45.806538
212983,55.155064
212984,51.41567
212985,58.35251
212986,63.48933
212987,84.25703
212988,38.223724
212989,207.53084
212990,27.033915
212991,23.430147
212993,44.725945
212994,42.543056
212995,38.30377
212996,37.000782
212997,58.49118
212998,67.83119
212999,7.5915484
213001,17.489542
213002,19.828348
213006,18.380383
213007,23.287746
213011,49.754444
213012,9.01437
213013,188.76967
213016,20.585022
213017,10.535761
213020,17.074022
213021,152.1772
213022,115.70845
213023,58.580154
213025,56.02955
213026,54.04111
213027,91.68158
213031,85.50244
213032,56.635277
213033,264.4336
213034,27.842161
213035,20.936016
213036,64.106735
213037,84.36451
213038,53.118683
213039,30.391638
213040,44.233284
213041,61.195118
213043,23.465036
213048,131.68883
213049,107.3851
213050,50.078773
213053,72.37349
213054,76.1981
213055,95.88704
213056,49.139576
213059,75.24795
213060,48.501976
213061,321.4988
213064,62.857613
213065,53.50435
213066,51.933258
213068,67.350395
213069,74.97889
213070,28.37078
213072,69.67952
213073,69.72427
213074,39.248116
213076,24.298756
213077,37.126434
213078,47.94448
213079,20.072489
213080,22.428576
213081,29.898455
213082,93.48548
213083,32.321136
213084,195.25285
213085,25.4107
213086,20.143917
213087,39.38696
213088,46.56067
213089,38.594814
213090,42.2034
213091,50.6379
213092,60.947243
213093,6.482442
213094,15.33123
213096,23.08424
213097,38.45861
213098,35.72756
213100,10.215652
213101,24.374321
213102,33.895355
213103,20.152409
213105,38.098892
213106,59.21757
213107,20.888544
213108,85.28401
